date,heading,heading_sentiment,price,url,body,body_sentiment
2018-10-25,"Tesla (TSLA) 'obviously' plans to take on Uber and Lyft, says CEO Elon Musk",3,314.86,https://stocknews.com/news/tsla-tesla-tsla-obviously-plans-to-take-on-uber-and-lyft/,"
Tesla, Inc (NASDAQ:TSLA) more
Tesla CEO Elon Musk announced his company’s plans to join the self driving car market after a better-than-expected Q3 earnings report. Musk said the decision was “obvious,” saying that the company will maintain a fleet of autonomous vehicles capable of providing rides.
CNBC provides insight:
While full self-driving tech is still in development, Tesla’s newest Autopilot Navigate features will enable drivers to automatically change lanes, handle forks in the road and take highway exits along a planned route, according to Tesla VP of Engineering Stuart Bowers who spoke on the third-quarter earnings call alongside Musk.
Tesla shares boosted 12 percent after the exciting earnings report. The company already possesses “driver assistance” available cars that can take care of some tasks but retains the need for drivers to hold the wheel.
Tesla, Inc shares were trading at $314.86 per share on Thursday afternoon, up $26.36 (+9.14%). Year-to-date, TSLA has gained 1.13%, versus a 2.50% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of C (Neutral), and is ranked #3 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",4
2018-10-25,Tesla Inc (TSLA) Shares Rise After Earnings Beat,3,288.50,https://stocknews.com/news/tsla-tesla-inc-tsla-shares-rise-after-earnings-beat/,"
Tesla Inc (NASDAQ:TSLA) delivered a surprising earnings beat after the bell on Wednesday, and shares popped as a result. more
CNBC has the details on the electric vehicle maker’s results.
Tesla shares soared by more than 12 percent after the company reported a surprise profit for the third quarter as CEO Elon Musk made good on his promise to start turning regular profits in the last half of the year.
The company’s earnings report, released after the markets closed Wednesday, also showed better-than expected car sales and a faster timeline on its Model 3 production. The electric car maker said its midsize Model 3 sedan, which it hopes to produce on mass scale, was the best-selling car in the U.S. when measured by revenue and the fifth best-selling car in terms of volume.
For the quarter, Tesla reported revenue of  $6.82 billion and earnings of $2.90 per share. Analysts were expecting a top line of  $6.33 billion and a loss of 19 cents per share. On a call with analysts, Musk referred to it as an “incredibly historic quarter.”
Tesla Inc shares rose $26.50 (+9.19%) in premarket trading Thursday. Year-to-date, TSLA has declined -7.34%, versus a 0.72% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of C (Neutral), and is ranked #3 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",4
2018-10-24,Analyst Places Outperform Rating on Tesla Inc (TSLA),3,294.14,https://stocknews.com/news/tsla-analyst-places-outperform-rating-on-tesla-inc-tsla/,"
Tesla Inc (NASDAQ:TSLA) has received a vote of confidence from JMP Securities in the form of an outperform rating. more
CNBC passes along the firm’s take on the electric vehicle maker.
JMP Securities gave Tesla shares a new outperform rating on Wednesday, citing the automaker’s collection of top talent and competition that continues to lag behind Elon Musk’s electric car manufacturer.
JMP’s message to buy Tesla comes hours before the company will report third-quarter earnings on an earlier date than expected.
JMP’s Joseph Osha provided insight in a note to clients. “Stretched balance sheet, but we think Tesla can make it. The combination of the Model 3 ramp, capital spending plans, and pending debt repayments have left Tesla in a difficult position,” Osha wrote. “Our detailed modeling suggests the company can make it through the next 18 months without having to raise money, but there is little room for error. We believe the company would be well served by raising several billion dollars in additional equity capital.”
Tesla Inc shares rose $9.86 (+3.35%) in premarket trading Wednesday. Year-to-date, TSLA has declined -5.53%, versus a 3.87% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of C (Neutral), and is ranked #2 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",3
2018-10-23,Tesla (TSLA) stock jumps after legendary short seller flips position,4,294.14,https://stocknews.com/news/tsla-tesla-tsla-stock-jumps-after-legendary-short-seller-flips-position/,"
Tesla, Inc (NASDAQ:TSLA) has won over a Citron Research’s Andrew Left, who has shorted the stock for years and is also suing the company.more
Andrew Left has revealed that he is betting the stock will rise, and that he thinks it is the only company that can buy and sell electric cars. Left is simultaneously suing Tesla for an August 7th tweet by Elon Musk about taking the company private. Left claims Musk did this with the intention of manipulating stock prices.
CNBC provides details:
“Citron is long Tesla as the Model 3 is a proven hit and many of the TSLA warning signs have proven not to be significant,” said Left in a blog post Tuesday. “Plain and simple – Tesla is destroying the competition.”
“TSLA is not just pulling customers from BMW and Mercedes but also from Toyota and Honda. Like a magic trick, while everyone is focused on Elon smoking weed, he is quietly smoking the whole automotive industry,” the short seller added.
After an extremely volatile year, Tesla stocks got a boost in light of CEO Elon Musk’s settlement with the SEC.
Tesla, Inc shares were trading at $294.14 per share on Tuesday afternoon, up $33.19 (+12.72%). Year-to-date, TSLA has declined -5.53%, versus a 3.87% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of D (Sell), and is ranked #5 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",3
2018-10-20,How did Tesla (TSLA) get its name?,3,260.00,https://stocknews.com/news/tsla-how-did-tesla-tsla-get-its-name/,"
Tesla, Inc (NASDAQ:TSLA) is named in honor of the great inventor, Nikola Tesla.more
Nikola Tesla was a Serbian-American inventor who invented the AC electric motor that Tesla vehicles utilize. Tesla immigrated to the United States in 1884 and started his career working for Thomas Edison, where he helped Edison improve his DC power system.
Fox Business provides details:
Tesla and Edison eventually had a falling out after Edison dismissed Tesla’s proposed plans to utilize an AC power system, leading to Tesla’s decision to join Westinghouse Electric Company and marking the start of the “War of Currents” between Thomas Edison’s DC power system and Tesla’s AC power system.
Tesla cofounder Martin Eberhard originally came up with the idea in Disneyland’s Blue Bayou restaurant.
Tesla, Inc shares closed at $260.00 on Friday, down $-3.91 (-1.48%). Year-to-date, TSLA has declined -16.49%, versus a 4.87% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of D (Sell), and is ranked #7 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",4
2018-10-19,Tesla Inc (TSLA) Introduces Lower-Priced Model 3,3,263.91,https://stocknews.com/news/tsla-tesla-inc-tsla-introduces-lower-priced-model-3/,"
Tesla Inc (NASDAQ:TSLA) has taken the wraps off of a new lower-priced version of its Model 4 vehicles. Elon Musk shared the news about the new mid-range vehicles, which will have a base sticker price of $45,000. more
CNBC has additional details.
Tesla CEO Elon Musk announced on Twitter that a new variant of the company’s Model 3 electric sedan is going on sale today.
He wrote, “Costs $35k after federal & state tax rebates in California, but true cost of ownership is closer to $31k after gas savings.”
The electric vehicle maker provided additional details to CNBC via a statement.
“As Model 3 production and sales continue to grow rapidly, we’ve achieved a steady volume in manufacturing capacity, allowing us to diversify our product offering to even more customers. Our new Mid-Range Battery is being introduced this week in the U.S. and Canada to better meet the varying range needs of the many customers eager to own Model 3, and our delivery estimate for customers who have ordered the Standard Battery is 4-6 months,” the statement read.
Tesla Inc shares rose $4.73 (+1.79%) in premarket trading Friday. Year-to-date, TSLA has declined -15.24%, versus a 4.93% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of D (Sell), and is ranked #7 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",4
2018-10-17,Tesla Inc's (TSLA) Elon Musk Plans to Buy Massive Amount of Company Stock,3,278.36,https://stocknews.com/news/tsla-tesla-incs-tsla-elon-musk-plans-to-buy-massive-amount/,"
Tesla Inc’s (NASDAQ:TSLA) Elon Musk is going to put his money where his mouth is. A new filing indicates that the Tesla honcho has plans to purchase a massive amount of company stock. more
CNBC has the details on Musk’s plan.
Tesla chief executive Elon Musk told the electric car company that he plans to purchase $20 million of common stock during the next open trading window, according to a filing related to the CEO’s settlement with the Securities and Exchange Commission.
The 8-K filing outlined Musk’s intentions. “Separate and apart from the settlement, Elon has notified Tesla that he intends to purchase from Tesla, and Tesla expects that it will issue and sell to Elon, $20 million of Tesla’s common stock during the next open trading window at the then-current market price,” the filing reads in part.
Tesla Inc shares rose $6.09 (+2.20%) in premarket trading Wednesday. Year-to-date, TSLA has declined -9.53%, versus a 6.28% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of D (Sell), and is ranked #10 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",3
2018-10-17,Tesla Inc (TSLA) Snags Plot of Land for China Factory,3,276.59,https://stocknews.com/news/tsla-tesla-inc-tsla-snags-plot-of-land-for-china-factory/,"
Tesla Inc (NASDAQ:TSLA) previously announced plans for a factory in China have taken a major leap forward. The electric vehicle maker has purchased a massive patch of land on which its vision will become reality. more
CNBC has the details.
Tesla successfully acquired an 864,885-square meter plot in Shanghai’s Lingang area for the electric car maker’s new factory, according to an announcement from Lingang Wednesday afternoon. No price was immediately disclosed.
Plans for the wholly-owned factory were first announced in July. Lingang is located on the coast, about 47 miles southeast of the center of Shanghai or a roughly two-hour subway ride. Several auto manufacturers with foreign ties have facilities there, and unmarked test vehicles can be seen roaming the streets.
Back in August, the company noted in an earnings release that it expects to begin production in China in three years. Funding for the factory is expected to mainly come from local debt.
Tesla Inc shares rose $2.51 (+0.91%) in premarket trading Wednesday. Year-to-date, TSLA has declined -11.16%, versus a 6.45% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of D (Sell), and is ranked #10 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",3
2018-10-15,"Tesla, Inc (TSLA) Tries To Pump Up Sales of its Most Expensive Cars",3,259.59,https://stocknews.com/news/tsla-tesla-inc-tsla-tries-to-pump-up-sales-of-its/,"
Tesla, Inc (NASDAQ:TSLA) is taking advantage of its phasing-out tax credit by encouraging buyers to purchase its most expensive model.more
Tesla’s sophisticated electric cars are expensive to produce, and to turn a profit the company is using creative tactics to boost sales. A full, $7,500 tax credit is only available to consumers who order the vehicle by October 15th, to whom Tesla guarantees their vehicles will be delivers by the end of 2018.
The Motley Fool provides details:
However, many reservation holders may not be able to afford even the cheapest Model 3 variant currently in production. While there are hundreds of thousands of outstanding reservations, Tesla has been allowing nonreservation holders to order the Model 3 versions currently in production (essentially skipping the line) since July. Nevertheless, the lead time has shrunk to a maximum of four weeks for rear-wheel-drive models and eight weeks for dual-motor models.
Tesla’s Model 3 dual-motor all-wheel drive variants are more expensive than rear-wheel drive counterparts. Tesla hopes to boost sales of their most expensive vehicles by pressing consumers with the deadline.
Tesla, Inc shares were trading at $259.59 per share on Monday afternoon, up $0.81 (+0.31%). Year-to-date, TSLA has declined -16.62%, versus a 4.20% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of D (Sell), and is ranked #10 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",3
2018-10-14,"Tesla, Inc (TSLA) reportedly produced 7,400 Model 3 sedans in less than 2 weeks",3,258.78,https://stocknews.com/news/tsla-tesla-inc-tsla-reportedly-produced-7400-model-3-sedans-in/,"
Tesla, Inc (NASDAQ:TSLA) is starting the quarter of with a bang, boasting volume output that is close to matching its goal of 5000 cars per week.more
According to a report in Elektrek, Tesla has produced 7,400 Model 3 mid-sized sedans since the beginning of the quarter. Including its other vehicles, Tesla has produced 11,500 cars since the start of Q4 a few weeks ago.
CNBC provides details:
Tesla has struggled with production on the Model 3 in the past. It had originally aimed to make 5,000 cars a week at the end of 2017 but did not reach that goal until the end of the second quarter this year. However the company did deliver more vehicles in the third quarter than analysts expected. At the time, the automaker said production had stabilized.
The rate is holding strong despite the tendency for production to slow down at the end of the month. After years of struggling with production, Tesla created more vehicles than analysts expected last quarter.
Tesla, Inc shares closed at $258.78 on Friday, up $6.55 (+2.60%). Year-to-date, TSLA has declined -16.88%, versus a 4.76% rise in the benchmark S&P 500 index during the same period.
TSLA currently has a StockNews.com POWR Rating of D (Sell), and is ranked #10 of 25 stocks in the Auto & Vehicle Manufacturers category.
Get access to our daily newsletters, Best Stocks List, POWR Ratings, and much more!Free for 14 days -- no credit card required!
Sign Up Now",3
